Internal ID,Name,Bill.com Last Updated By Import,Bill.com Updated By Import,External ID,Inactive,Name (no hierarchy),Subsidiary
6,Cost of Revenue,,No,,No,Cost of Revenue,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
8,Cost of Revenue : Funding Costs,,No,,No,Funding Costs,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
24,Cost of Revenue : Funding Costs : Interest/Debt Issuance,,No,,No,Interest/Debt Issuance,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
7,Cost of Revenue : Processing and Servicing,,No,,No,Processing and Servicing,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
4,Cost of Revenue : Processing and Servicing : Origination,,No,,No,Origination,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
23,Cost of Revenue : Processing and Servicing : Platform fees/Servers,,No,,No,Platform fees/Servers,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
22,Cost of Revenue : Processing and Servicing : Servicing,,No,,No,Servicing,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
1,General & Administrative,,No,,No,General & Administrative,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
16,General & Administrative : Corporate,,No,,No,Corporate,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
40,General & Administrative : Corporate : Executive Team,,No,,No,Executive Team,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
39,General & Administrative : Corporate : Stategic Initatives,,No,,No,Stategic Initatives,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
17,General & Administrative : Finance,,No,,No,Finance,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
41,General & Administrative : Finance : Accounting,,No,,No,Accounting,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
43,General & Administrative : Finance : Capital Markets,,No,,No,Capital Markets,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
42,General & Administrative : Finance : Strategic Finance/FP&A,,No,,No,Strategic Finance/FP&A,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
21,General & Administrative : IT and Facilities,,No,,No,IT and Facilities,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
51,General & Administrative : IT and Facilities : IT/Other Costs,,No,,No,IT/Other Costs,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
50,General & Administrative : IT and Facilities : Office Management,No,No,,No,Office Management,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
18,General & Administrative : Legal,,No,,No,Legal,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
45,General & Administrative : Legal : Commercial,,No,,No,Commercial,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
44,General & Administrative : Legal : Corporate,,No,,No,Corporate,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
